,group,names,scores,logfoldchanges,pvals,pvals_adj,cell_type,abs_logfoldchanges
17380,Ruxolitinib phosphate,MYC,0.016466875,0.0173202,0.9868619284235962,0.9909772825871642,CD4 Effector Memory,0.0173202
17381,Ruxolitinib phosphate,CD38,0.003117152,0.010588248,0.9975128765678976,0.9989653552666659,CD4 Effector Memory,0.010588248
17382,Ruxolitinib phosphate,TMEM97,-0.0012967353,0.03139256,0.9989653552666659,0.9989653552666659,CD4 Effector Memory,0.03139256
17383,Ruxolitinib phosphate,EED,-0.0023108488,-0.058395784,0.9981562111507443,0.9989653552666659,CD4 Effector Memory,0.058395784
17384,Ruxolitinib phosphate,DPH2,-0.008129532,-0.0013862293,0.9935136430312554,0.9959953590421579,CD4 Effector Memory,0.0013862293
17385,Ruxolitinib phosphate,BATF,-0.011379683,-0.06936592,0.9909205226481254,0.9942235910569525,CD4 Effector Memory,0.06936592
17386,Ruxolitinib phosphate,ITGAL,-0.020681264,-0.18107131,0.9834999145762929,0.9900785093226226,CD4 Effector Memory,0.18107131
17387,Ruxolitinib phosphate,JADE2,-0.024662906,-0.173848,0.9803238422577871,0.9877070343752098,CD4 Effector Memory,0.173848
17388,Ruxolitinib phosphate,PMM2,-0.024795905,-0.03980155,0.9802177572623338,0.9877070343752098,CD4 Effector Memory,0.03980155
17389,Ruxolitinib phosphate,CDCA4,-0.03196951,-0.010353947,0.9744963651758715,0.9840904667419271,CD4 Effector Memory,0.010353947
17390,Ruxolitinib phosphate,SELL,-0.034795728,-0.034906127,0.9722426264942724,0.9840904667419271,CD4 Effector Memory,0.034906127
17391,Ruxolitinib phosphate,HPRT1,-0.038486436,-0.03614499,0.969299845357358,0.9831819829909512,CD4 Effector Memory,0.03614499
17392,Ruxolitinib phosphate,DDX10,-0.04012398,-0.05281754,0.967994283414762,0.9831228938452513,CD4 Effector Memory,0.05281754
17393,Ruxolitinib phosphate,TOPBP1,-0.044762302,-0.1403058,0.9642967729515048,0.9814144671459103,CD4 Effector Memory,0.1403058
17394,Ruxolitinib phosphate,VAPB,-0.054753814,-0.09910851,0.956334596216896,0.974316528193767,CD4 Effector Memory,0.09910851
17395,Ruxolitinib phosphate,WASHC4,-0.058635708,-0.21745646,0.9532422692480749,0.9726302476056629,CD4 Effector Memory,0.21745646
17396,Ruxolitinib phosphate,FBXL12,-0.058752082,-0.032995872,0.9531495762895927,0.9726302476056629,CD4 Effector Memory,0.032995872
17397,Ruxolitinib phosphate,ADORA2A,-0.06181936,-0.027344732,0.9507066870401095,0.9725155915006728,CD4 Effector Memory,0.027344732
17398,Ruxolitinib phosphate,PLOD3,-0.06610025,-0.058291256,0.9472980139242552,0.9698527285414994,CD4 Effector Memory,0.058291256
17399,Ruxolitinib phosphate,TRAM2,-0.071686186,-0.025166115,0.9428516516429889,0.9670128085787517,CD4 Effector Memory,0.025166115
17400,Ruxolitinib phosphate,EPRS1,-0.084744975,-0.1186908,0.9324641416116595,0.9603822296838649,CD4 Effector Memory,0.1186908
17401,Ruxolitinib phosphate,VAV3,-0.08647395,-0.023147834,0.9310896610945637,0.959787630100903,CD4 Effector Memory,0.023147834
17402,Ruxolitinib phosphate,AURKA,-0.090987585,-0.084355965,0.9275024527113546,0.9577298053726165,CD4 Effector Memory,0.084355965
17403,Ruxolitinib phosphate,IRF5,-0.09339818,-0.092379585,0.9255872311637084,0.9573943525095403,CD4 Effector Memory,0.092379585
17404,Ruxolitinib phosphate,RRP8,-0.094836235,-0.05064982,0.924444907062356,0.9570623097040319,CD4 Effector Memory,0.05064982
17405,Ruxolitinib phosphate,IER3,-0.09517704,-0.03780165,0.9241742056001075,0.9570623097040319,CD4 Effector Memory,0.03780165
17406,Ruxolitinib phosphate,OAS1,-0.095185354,-0.050717443,0.9241676032349847,0.9570623097040319,CD4 Effector Memory,0.050717443
17407,Ruxolitinib phosphate,CCNF,-0.098826185,-0.057861805,0.9212762758730044,0.9570623097040319,CD4 Effector Memory,0.057861805
17408,Ruxolitinib phosphate,KLRC4,-0.1140462,-0.1047267,0.909201168903354,0.9494173524368068,CD4 Effector Memory,0.1047267
17409,Ruxolitinib phosphate,TATDN2,-0.115135126,-0.22932604,0.9083380180893964,0.9493393869614871,CD4 Effector Memory,0.22932604
17410,Ruxolitinib phosphate,SORBS3,-0.11680592,-0.11863959,0.907013852390172,0.9488203863642625,CD4 Effector Memory,0.11863959
17411,Ruxolitinib phosphate,HEATR1,-0.11824396,-0.06871225,0.9058743543595937,0.9488203863642625,CD4 Effector Memory,0.06871225
17412,Ruxolitinib phosphate,CASP7,-0.13190125,-0.08195145,0.8950624014030272,0.9395423986828637,CD4 Effector Memory,0.08195145
17413,Ruxolitinib phosphate,CENPU,-0.13359697,-0.11757164,0.8937212733364268,0.9389532400497888,CD4 Effector Memory,0.11757164
17414,Ruxolitinib phosphate,CD59,-0.14167663,-0.105505325,0.8873354298923414,0.9338740013901914,CD4 Effector Memory,0.105505325
17415,Ruxolitinib phosphate,IL2RA,-0.14334743,-0.1544645,0.886015798641387,0.9335360921075709,CD4 Effector Memory,0.1544645
17416,Ruxolitinib phosphate,ARHGAP1,-0.1510281,-0.20464899,0.8799535552008905,0.932807524815875,CD4 Effector Memory,0.20464899
17417,Ruxolitinib phosphate,LAMP2,-0.15211701,-0.23395887,0.8790946420412846,0.932807524815875,CD4 Effector Memory,0.23395887
17418,Ruxolitinib phosphate,DAG1,-0.1577279,-0.09396786,0.8746712213222655,0.9311265698249405,CD4 Effector Memory,0.09396786
17419,Ruxolitinib phosphate,DDX43,-0.16096142,-0.17735414,0.8721237889283218,0.9308833102135181,CD4 Effector Memory,0.17735414
17420,Ruxolitinib phosphate,TMCO1,-0.16122742,-0.2834783,0.8719142901597294,0.9308833102135181,CD4 Effector Memory,0.2834783
17421,Ruxolitinib phosphate,PDHX,-0.16299796,-0.066301025,0.8705200436051419,0.9308224977802761,CD4 Effector Memory,0.066301025
17422,Ruxolitinib phosphate,MICB,-0.16386245,-0.18406522,0.8698394306339196,0.9308224977802761,CD4 Effector Memory,0.18406522
17423,Ruxolitinib phosphate,CDK5R1,-0.164303,-0.10728555,0.869492616845798,0.9308224977802761,CD4 Effector Memory,0.10728555
17424,Ruxolitinib phosphate,NFKBIE,-0.1670461,-0.062235072,0.8673337775610535,0.9303768907702166,CD4 Effector Memory,0.062235072
17425,Ruxolitinib phosphate,FICD,-0.17201692,-0.107159644,0.8634242299139727,0.9281810471575207,CD4 Effector Memory,0.107159644
17426,Ruxolitinib phosphate,IL10RA,-0.17256553,-0.1763964,0.8629929444226881,0.9281810471575207,CD4 Effector Memory,0.1763964
17427,Ruxolitinib phosphate,BAD,-0.18885785,-0.15411529,0.8502042301624881,0.9187857082099258,CD4 Effector Memory,0.15411529
17428,Ruxolitinib phosphate,KIFBP,-0.19403648,-0.07359947,0.8461473192621494,0.9159488105312821,CD4 Effector Memory,0.07359947
17429,Ruxolitinib phosphate,TNFSF13,-0.19650526,-0.15189129,0.8442147140836773,0.9159488105312821,CD4 Effector Memory,0.15189129
17430,Ruxolitinib phosphate,ERBB2,-0.19910705,-0.12302784,0.8421790101544815,0.9151475886516206,CD4 Effector Memory,0.12302784
17431,Ruxolitinib phosphate,INPP1,-0.20003803,-0.1299072,0.8414508347901902,0.9151475886516206,CD4 Effector Memory,0.1299072
17432,Ruxolitinib phosphate,DFFB,-0.2061809,-0.2155545,0.8366496050863759,0.9107831143978269,CD4 Effector Memory,0.2155545
17433,Ruxolitinib phosphate,DHX29,-0.20847513,-0.08577021,0.8348580023708264,0.9096552351624207,CD4 Effector Memory,0.08577021
17434,Ruxolitinib phosphate,FRS2,-0.21462631,-0.07735234,0.8300586824945503,0.9060658691962271,CD4 Effector Memory,0.07735234
17435,Ruxolitinib phosphate,ITGA3,-0.21937269,-0.1552547,0.8263597424205679,0.9028467603215642,CD4 Effector Memory,0.1552547
