,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,104,Erlotinib,DMSO control,VEGF,30.293770969531348,0.4144076467416218,1.3847280075524958e-201,2.7694560151049915e-201,CD4 Naive
CD4 Naive,105,Erlotinib,DMSO control,PI3K,28.052306031851664,0.4262120372815309,3.74400276406941e-173,6.552004837121468e-173,CD4 Naive
CD4 Naive,106,Erlotinib,DMSO control,TGFb,17.538815898876372,0.16421754018817425,7.242070584457805e-69,1.1265443131378807e-68,CD4 Naive
CD4 Naive,107,Erlotinib,DMSO control,WNT,-16.2600488416655,-0.1360445567466526,1.8958677914407462e-59,2.6542149080170446e-59,CD4 Naive
CD4 Naive,108,Erlotinib,DMSO control,p53,-11.83256932762332,-0.1470719085007166,2.6490689207277746e-32,3.3715422627444403e-32,CD4 Naive
CD4 Naive,109,Erlotinib,DMSO control,TNFa,-11.335612137536668,-0.16375127546710377,8.741872818418393e-30,1.0198851621488126e-29,CD4 Naive
CD4 Naive,110,Erlotinib,DMSO control,Trail,-5.2359749998774285,-0.04165147259704938,1.6411616799553258e-07,1.7674048861057354e-07,CD4 Naive
CD4 Naive,111,Erlotinib,DMSO control,NFkB,-2.1079987339105872,-0.02571855832414216,0.03503109894802822,0.03503109894802822,CD4 Naive
CD4 Naive,112,Canertinib dihydrochloride,DMSO control,JAK-STAT,36.91285244604108,0.5630799637133915,2.8746649869483984e-298,4.024530981727758e-297,CD4 Naive
CD4 Naive,113,Canertinib dihydrochloride,DMSO control,Estrogen,30.498011698229607,0.39087988572840215,2.7689691659546683e-204,1.938278416168268e-203,CD4 Naive
CD4 Naive,114,Canertinib dihydrochloride,DMSO control,NFkB,26.776022119021494,0.40749889821230945,6.1476895894901904e-158,2.868921808428756e-157,CD4 Naive
CD4 Naive,115,Canertinib dihydrochloride,DMSO control,Androgen,23.45665685946712,0.32334946396157305,1.1305065106095278e-121,3.956772787133347e-121,CD4 Naive
CD4 Naive,116,Canertinib dihydrochloride,DMSO control,EGFR,22.21752115208446,0.319436972643953,2.3255668028162524e-109,6.511587047885506e-109,CD4 Naive
CD4 Naive,117,Canertinib dihydrochloride,DMSO control,TNFa,17.944574194759433,0.25958013620443876,5.291460343356224e-72,1.2346740801164522e-71,CD4 Naive
CD4 Naive,118,Canertinib dihydrochloride,DMSO control,p53,15.512127350595389,0.19683974987197628,2.87203421055689e-54,5.74406842111378e-54,CD4 Naive
CD4 Naive,119,Canertinib dihydrochloride,DMSO control,Hypoxia,-14.533587878519727,-0.2511969621668386,7.422848711658326e-48,1.298998524540207e-47,CD4 Naive
CD4 Naive,120,Canertinib dihydrochloride,DMSO control,Trail,13.3474804204059,0.14511443287113157,1.2252336158405823e-40,1.9059189579742393e-40,CD4 Naive
CD4 Naive,121,Canertinib dihydrochloride,DMSO control,WNT,-12.490237978213948,-0.12001050254289924,8.440080499296552e-36,1.1816112699015172e-35,CD4 Naive
CD4 Naive,122,Canertinib dihydrochloride,DMSO control,MAPK,11.525033971066074,0.1446567654752875,9.867327591146394e-31,1.2558416934186318e-30,CD4 Naive
CD4 Naive,123,Canertinib dihydrochloride,DMSO control,VEGF,6.545447795154418,0.08875375331094482,5.931737693257447e-11,6.920360642133688e-11,CD4 Naive
CD4 Naive,124,Canertinib dihydrochloride,DMSO control,TGFb,1.4297734102885695,0.011684254643117287,0.15278206291960467,0.16453452929803578,CD4 Naive
CD4 Naive,125,Canertinib dihydrochloride,DMSO control,PI3K,-0.5094671846736336,-0.016317349336884668,0.6104247942622083,0.6104247942622083,CD4 Naive
CD4 Naive,126,Afatinib dimaleate,DMSO control,JAK-STAT,58.228695722325,0.9859101630647841,0.0,0.0,CD4 Naive
CD4 Naive,127,Afatinib dimaleate,DMSO control,EGFR,48.38086875494469,0.7480736087261874,0.0,0.0,CD4 Naive
CD4 Naive,128,Afatinib dimaleate,DMSO control,NFkB,39.870020577390555,0.6301252342178483,0.0,0.0,CD4 Naive
CD4 Naive,129,Afatinib dimaleate,DMSO control,Estrogen,36.99974304772397,0.4763771380809758,1.1560610088290862e-299,4.046213530901802e-299,CD4 Naive
CD4 Naive,130,Afatinib dimaleate,DMSO control,MAPK,30.611947652456667,0.4027719988172782,8.487662063349717e-206,2.3765453777379206e-205,CD4 Naive
CD4 Naive,131,Afatinib dimaleate,DMSO control,PI3K,29.601606961731616,0.46044587782925817,1.4247730136030834e-192,3.3244703650738614e-192,CD4 Naive
CD4 Naive,132,Afatinib dimaleate,DMSO control,TNFa,26.03024726334016,0.38171835502147755,2.251893779766149e-149,4.503787559532298e-149,CD4 Naive
CD4 Naive,133,Afatinib dimaleate,DMSO control,Androgen,24.39733914735588,0.3373533856700388,1.825091266824242e-131,3.1939097169424236e-131,CD4 Naive
CD4 Naive,134,Afatinib dimaleate,DMSO control,VEGF,17.906272266527655,0.23858731360807273,1.0535981202830725e-71,1.6389304093292239e-71,CD4 Naive
CD4 Naive,135,Afatinib dimaleate,DMSO control,TGFb,15.990719898427125,0.15121672228832495,1.483072127249903e-57,2.076300978149864e-57,CD4 Naive
CD4 Naive,136,Afatinib dimaleate,DMSO control,Hypoxia,-13.02931320261616,-0.22514843833913845,8.335454878474878e-39,1.0608760754422572e-38,CD4 Naive
CD4 Naive,137,Afatinib dimaleate,DMSO control,p53,9.575330729311322,0.12067818143331377,1.015318223874206e-21,1.1845379278532404e-21,CD4 Naive
CD4 Naive,138,Afatinib dimaleate,DMSO control,Trail,9.145019636267408,0.10022700001608387,5.961903159066058e-20,6.420511094378831e-20,CD4 Naive
CD4 Naive,139,Afatinib dimaleate,DMSO control,WNT,2.7983413466115854,0.018886972702737204,0.005136579698499296,0.005136579698499296,CD4 Naive
CD4 Naive,140,IL-6 control,DMSO control,Estrogen,47.29170005500304,0.64388470304937,0.0,0.0,CD4 Naive
